"a_number","b_number","duration","calleeCarrier","weight","startTime","callDay","startDate"
"089-1000002","089-1000049","503","unknown","983.0","195958.0","Monday","20150904"
"089-1000002","089-1000079","511","unknown","1471.0","115932.0","Friday","20150915"
"089-1000002","089-1000057","544","unknown","1024.0","124543.0","Friday","20150915"
"089-1000002","089-1000038","444","unknown","444.0","142147.0","Tuesday","20150912"
"089-1000002","089-1000093","580","unknown","2740.0","35011.0","Thursday","20150921"
"089-1000002","089-1000004","76","AIS","76.0","41814.0","Thursday","20150928"
"089-1000002","089-1000070","36","unknown","1476.0","123344.0","Saturday","20150916"
"089-1000002","089-1000040","160","unknown","880.0","45138.0","Saturday","20150923"
"089-1000002","089-1000092","252","unknown","1932.0","2155.0","Thursday","20150914"
"089-1000002","089-1000049","76","unknown","76.0","94712.0","Wednesday","20150906"
"089-1000002","089-1000086","390","unknown","870.0","162959.0","Wednesday","20150927"
"089-1000002","089-1000028","75","unknown","75.0","51252.0","Saturday","20150902"
"089-1000002","089-1000015","325","AIS","325.0","114654.0","Wednesday","20150913"
"089-1000002","089-1000030","385","unknown","385.0","65351.0","Tuesday","20150912"
"089-1000002","089-1000040","129","unknown","129.0","223639.0","Wednesday","20150927"
"089-1000002","089-1000070","314","unknown","314.0","85342.0","Friday","20150922"
"089-1000002","089-1000046","593","unknown","593.0","165943.0","Monday","20150904"
"089-1000002","089-1000099","107","unknown","107.0","231845.0","Tuesday","20150912"
"089-1000002","089-1000032","472","unknown","472.0","204741.0","Monday","20150911"
"089-1000002","089-1000025","522","unknown","2682.0","1713.0","Thursday","20150928"
"089-1000002","089-1000084","351","unknown","351.0","184135.0","Tuesday","20150919"
"089-1000002","089-1000029","407","unknown","407.0","92754.0","Friday","20150901"
"089-1000002","089-1000008","567","AIS","567.0","84015.0","Monday","20150904"
"089-1000002","089-1000009","277","AIS","2677.0","143111.0","Thursday","20150928"
"089-1000002","089-1000010","186","AIS","186.0","24127.0","Tuesday","20150905"
"089-1000002","089-1000047","554","unknown","554.0","61936.0","Tuesday","20150905"
"089-1000002","089-1000078","87","unknown","87.0","52633.0","Friday","20150901"
"089-1000002","089-1000067","382","unknown","382.0","154816.0","Thursday","20150907"
"089-1000002","089-1000094","181","unknown","181.0","221644.0","Thursday","20150907"
"089-1000002","089-1000092","377","unknown","377.0","134833.0","Wednesday","20150920"
"089-1000002","089-1000086","82","unknown","82.0","112028.0","Saturday","20150909"
"089-1000002","089-1000025","509","unknown","509.0","164032.0","Tuesday","20150912"
"089-1000002","089-1000031","70","unknown","1750.0","72812.0","Friday","20150915"
"089-1000002","089-1000011","329","AIS","329.0","174218.0","Wednesday","20150920"
"089-1000002","089-1000089","453","unknown","453.0","171211.0","Saturday","20150902"
"089-1000002","089-1000096","157","unknown","157.0","75434.0","Friday","20150901"
"089-1000002","089-1000009","290","AIS","290.0","21144.0","Thursday","20150928"
"089-1000002","089-1000058","162","unknown","162.0","75315.0","Thursday","20150914"
"089-1000002","089-1000031","405","unknown","405.0","202457.0","Friday","20150922"
"089-1000002","089-1000093","529","unknown","529.0","201346.0","Thursday","20150928"
"089-1000002","089-1000006","206","AIS","206.0","104655.0","Wednesday","20150906"
"089-1000002","089-1000079","239","unknown","239.0","95415.0","Thursday","20150921"
"089-1000002","089-1000057","64","unknown","64.0","221743.0","Wednesday","20150927"
"089-1000002","089-1000016","37","AIS","37.0","62833.0","Wednesday","20150920"
"089-1000002","089-1000095","81","unknown","81.0","145617.0","Monday","20150918"
"089-1000002","089-1000009","272","AIS","272.0","225759.0","Saturday","20150902"
"089-1000002","089-1000091","132","unknown","132.0","112939.0","Wednesday","20150920"
"089-1000002","089-1000097","137","unknown","137.0","143145.0","Monday","20150911"
"089-1000002","089-1000018","433","AIS","433.0","83211.0","Monday","20150918"
"089-1000002","089-1000002","173","AIS","2513.0","41817.0","Saturday","20150902"
"089-1000002","089-1000002","484","AIS","484.0","75720.0","Wednesday","20150920"
"089-1000020","089-1000036","243","unknown","243.0","135327.0","Thursday","20150921"
"089-1000020","089-1000024","368","unknown","368.0","221212.0","Thursday","20150907"
"089-1000020","089-1000067","557","unknown","557.0","94855.0","Monday","20150918"
"089-1000020","089-1000041","11","unknown","1931.0","154432.0","Friday","20150901"
"089-1000020","089-1000063","528","unknown","528.0","205748.0","Saturday","20150930"
"089-1000020","089-1000039","211","unknown","211.0","234411.0","Saturday","20150930"
"089-1000020","089-1000010","364","AIS","364.0","74752.0","Saturday","20150923"
"089-1000020","089-1000055","447","unknown","447.0","204534.0","Friday","20150922"
"089-1000020","089-1000073","19","unknown","739.0","155029.0","Monday","20150904"
"089-1000020","089-1000038","242","unknown","1442.0","224616.0","Friday","20150915"
"089-1000020","089-1000035","92","unknown","92.0","54910.0","Friday","20150901"
"089-1000020","089-1000003","530","AIS","2690.0","121346.0","Tuesday","20150905"
"089-1000020","089-1000083","59","unknown","59.0","21348.0","Wednesday","20150927"
"089-1000020","089-1000025","530","unknown","530.0","93047.0","Wednesday","20150913"
"089-1000020","089-1000047","201","unknown","201.0","51125.0","Saturday","20150909"
"089-1000020","089-1000079","531","unknown","531.0","53947.0","Monday","20150904"
"089-1000020","089-1000065","344","unknown","3944.0","121848.0","Tuesday","20150919"
"089-1000020","089-1000038","266","unknown","266.0","222911.0","Tuesday","20150919"
"089-1000020","089-1000012","112","AIS","112.0","175159.0","Saturday","20150902"
"089-1000020","089-1000045","352","unknown","352.0","111124.0","Thursday","20150907"
"089-1000020","089-1000060","348","unknown","348.0","234539.0","Wednesday","20150913"
"089-1000020","089-1000041","467","unknown","467.0","191615.0","Thursday","20150907"
"089-1000020","089-1000034","276","unknown","276.0","43845.0","Tuesday","20150912"
"089-1000020","089-1000009","378","AIS","378.0","131522.0","Monday","20150925"
"089-1000020","089-1000026","518","unknown","518.0","182346.0","Saturday","20150916"
"089-1000020","089-1000003","486","AIS","486.0","61050.0","Wednesday","20150927"
